id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,ejercicio,escenario,centrocostoemisor_codigo,centrocostoreceptor_codigo,plancuenta_codigo,tipodistribucion_codigo,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,bloqueouser,bloqueoadmin
ff4dd3cb-508f-407d-b607-aca42225e386,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1140000006,1133000001,S42CFAAGUA,PORCENTAJE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9810,f,f
4be62c69-0953-4f58-8711-c5c005b0586b,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1140000006,1131100002,S42CFAAGUA,PORCENTAJE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1588,f,f
89db3c60-5262-4dc8-b775-34abe1326a83,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1140000006,1113000002,7119505003,PORCENTAJE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1025,f,f
e01e851f-754d-4301-99be-e7c0ce8e2c4a,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1131100001,S42CFAAGUA,PORCENTAJE,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,89.7951,f,f
c326abdc-a271-4575-b80a-95ee9de9ec77,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1140000004,S42CFAAGUA,PORCENTAJE,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,f,f
61278ca1-346a-46d1-bafa-d4a0189d2077,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900001,1123103001,S42CFAGAVI,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1883326.5304,f,f
b0c34a78-43ce-4e21-b4b9-5dfc09bef561,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900001,1123102001,S42CFAGAVI,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1989349.8014,f,f
8a7daf72-6c02-4a9e-98b5-b770b88157cc,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900001,1123202001,S42CFAGAVI,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2028912.5000,f,f
c1721bda-1d2f-4255-8865-fc3aca4073cc,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900001,1123101001,S42CFAGAVI,AVEDIA,2002726.0384,3442344.9506,1792060.1945,3086264.4463,3184992.8857,2114455.0153,3830924.0140,2721352.1709,2351805.3234,3830927.7942,2907273.5871,2471564.2126,f,f
cb9de610-d0ab-4c64-ab8a-ac45ae25aaf2,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900001,1123103001,S42CFAGAVI,AVEDIA,1883326.5304,3100793.8252,1785144.7714,2537047.7492,3213264.8777,1986276.1817,3578635.5112,2737233.9429,2088628.6457,3578637.2295,2726526.2462,2196929.8584,f,f
5e0c8fde-3005-4cba-be64-653840e96aa3,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900001,1123101001,S42CFAGAVI,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2002726.0384,f,f
6c850e78-d599-41b3-b35b-682eaba11303,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900001,1123202001,S42CFAGAVI,AVEDIA,2028912.5000,1015000.4800,1609138.2610,1522496.4000,1341538.4222,2109760.4760,1370969.6476,1476816.8520,1957505.8629,1645754.9291,1687805.0551,1957492.2857,f,f
d33fb025-6695-4f77-8f0f-5150853758e8,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1121299001,1121201005,S42CFCYDHV,AVEDIA,265137.4440,237551.1291,260335.0255,249871.5651,256066.2091,245224.0634,251263.7906,248595.7803,239030.4567,267735.2756,257045.9090,263492.9364,f,f
dcbdba7e-a62c-4603-a10d-598de4bc4fb4,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1121299001,1121201007,S42CFCYDHV,AVEDIA,242246.4000,217655.2000,0.0000,260560.8818,267108.8707,255906.9226,262299.7795,259628.0621,249184.5370,255353.3144,244530.5778,250544.2231,f,f
bb6e5982-4276-4706-96ca-ddb6d9e8c221,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1113000004,7119505003,PORCENTAJE,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,2.9231,f,f
6e1a5424-0d8b-4f7f-a6ea-2ab95d16f574,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1111100004,7119505003,PORCENTAJE,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,f,f
a7d4267a-54e3-435f-b9e0-ea1a0d896c23,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1132000099,S42CFAAGUA,PORCENTAJE,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,1.9455,f,f
a2d2aea6-2c15-41f9-96fd-24696d6bffbe,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1140000006,1113000004,7119505003,PORCENTAJE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9231,f,f
7d73a4a3-3374-44dc-943e-57aa58614335,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1140000006,1132000099,S42CFAAGUA,PORCENTAJE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9455,f,f
9ee7dab7-f856-4136-8fed-23c4f61860f7,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1133000001,S42CFAAGUA,PORCENTAJE,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,2.9810,f,f
54401268-3f71-43cd-871b-058ff06c65a1,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1140000006,1131100002,S42CFAAGUA,PORCENTAJE,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,1.1588,f,f
